curie,label,retrieved_at
HP:0000738,Hallucinations,2025-12-23T10:51:05.694017
HP:0000746,Delusion,2025-12-23T10:51:05.694021
HP:0025300,Malar rash,2025-12-23T10:51:05.694025
HP:0033726,Lupus nephritis,2025-12-23T10:51:05.694028
HP:0000709,Psychosis,2025-12-23T10:51:05.694032
HP:0200039,Pustule,2025-12-23T10:51:05.694036
HP:0003418,Back pain,2025-12-23T10:51:05.694039
HP:0003074,Hyperglycemia,2025-12-23T10:51:05.694043
HP:0000103,Polyuria,2025-12-23T10:51:05.694047
HP:0001959,Polydipsia,2025-12-23T10:51:05.694050
HP:0001953,Diabetic ketoacidosis,2025-12-23T10:51:05.694054
HP:0003474,Somatic sensory dysfunction,2025-12-23T10:51:05.694058
HP:0003401,Paresthesia,2025-12-23T10:51:05.694062
HP:0002459,obsolete Dysautonomia,2025-12-23T10:51:05.694065
HP:0001635,Congestive heart failure,2025-12-23T10:51:05.694069
HP:0001278,Orthostatic hypotension,2025-12-23T10:51:05.694073
HP:0012332,Abnormal autonomic nervous system physiology,2025-12-23T10:51:05.694077
HP:0001943,Hypoglycemia,2025-12-23T10:51:05.694081
HP:0002902,Hyponatremia,2025-12-23T10:51:05.694085
HP:0002153,Hyperkalemia,2025-12-23T10:51:05.694089
HP:0002204,Pulmonary embolism,2025-12-23T10:51:05.694092
HP:0002098,Respiratory distress,2025-12-23T10:51:05.694096
HP:0003236,Elevated circulating creatine kinase concentration,2025-12-23T10:51:05.694100
HP:0007340,Lower limb muscle weakness,2025-12-23T10:51:05.694104
HP:0000662,Nyctalopia,2025-12-23T10:51:05.694108
HP:0000529,Progressive visual loss,2025-12-23T10:51:05.694112
HP:0000490,Deeply set eye,2025-12-23T10:51:05.694116
HP:0001919,Acute kidney injury,2025-12-23T10:51:05.694119
HP:0012418,Hypoxemia,2025-12-23T10:51:05.694123
HP:0012416,Hypercapnia,2025-12-23T10:51:05.694127
HP:0004395,Malnutrition,2025-12-23T10:51:05.694130
HP:0002383,Infectious encephalitis,2025-12-23T10:51:05.694134
HP:0001899,Increased hematocrit,2025-12-23T10:51:05.694138
HP:0000707,Abnormality of the nervous system,2025-12-23T10:51:05.694142
HP:0003111,Abnormal blood ion concentration,2025-12-23T10:51:05.694146
HP:0003812,Phenotypic variability,2025-12-23T10:51:05.694150
HP:0002910,Elevated circulating hepatic transaminase concentration,2025-12-23T10:51:05.694154
HP:0001410,Decreased liver function,2025-12-23T10:51:05.694158
HP:0002591,Polyphagia,2025-12-23T10:51:05.694162
HP:0002046,Heat intolerance,2025-12-23T10:51:05.694165
HP:0000975,Hyperhidrosis,2025-12-23T10:51:05.694169
HP:0001645,Sudden cardiac death,2025-12-23T10:51:05.694173
HP:0000572,Visual loss,2025-12-23T10:51:05.694177
HP:0002617,Vascular dilatation,2025-12-23T10:51:05.694180
HP:0005214,Intestinal obstruction,2025-12-23T10:51:05.694184
HP:0002664,Neoplasm,2025-12-23T10:51:05.694188
HP:0100699,Scarring,2025-12-23T10:51:05.694191
HP:0003774,Stage 5 chronic kidney disease,2025-12-23T10:51:05.694195
HP:0000729,Autistic behavior,2025-12-23T10:51:05.694199
HP:0000246,Sinusitis,2025-12-23T10:51:05.694203
HP:0000388,Otitis media,2025-12-23T10:51:05.694207
HP:0001367,Abnormal joint morphology,2025-12-23T10:51:05.694210
HP:0001288,Gait disturbance,2025-12-23T10:51:05.694214
HP:0003076,Glycosuria,2025-12-23T10:51:05.694218
HP:0000112,Nephropathy,2025-12-23T10:51:05.694221
HP:0001626,Abnormality of the cardiovascular system,2025-12-23T10:51:05.694225
HP:0002789,Tachypnea,2025-12-23T10:51:05.694229
HP:0001289,Confusion,2025-12-23T10:51:05.694233
HP:0030973,Postexertional symptom exacerbation,2025-12-23T10:51:05.694236
HP:0002076,Migraine,2025-12-23T10:51:05.694240
HP:0000613,Photophobia,2025-12-23T10:51:05.694244
HP:0001290,Generalized hypotonia,2025-12-23T10:51:05.694248
HP:0007110,Central hypoventilation,2025-12-23T10:51:05.694252
HP:0002270,Abnormality of the autonomic nervous system,2025-12-23T10:51:05.694256
HP:0000505,Visual impairment,2025-12-23T10:51:05.694260
HP:0001513,Obesity,2025-12-23T10:51:05.694263
HP:0000280,Coarse facial features,2025-12-23T10:51:05.694267
HP:0000582,Upslanted palpebral fissure,2025-12-23T10:51:05.694271
HP:0001627,Abnormal heart morphology,2025-12-23T10:51:05.694275
HP:0001909,Leukemia,2025-12-23T10:51:05.694278
HP:0004293,Synostosis of second metacarpal-trapezoid,2025-12-23T10:51:05.694282
HP:0025788,Radiographic modifier,2025-12-23T10:51:05.694286
HP:0001373,Joint dislocation,2025-12-23T10:51:05.694290
HP:0012385,Camptodactyly,2025-12-23T10:51:05.694294
HP:0012785,Flexion contracture of finger,2025-12-23T10:51:05.694297
HP:0001387,Joint stiffness,2025-12-23T10:51:05.694301
HP:0008665,Clitoral hypertrophy,2025-12-23T10:51:05.694305
HP:0000855,Insulin resistance,2025-12-23T10:51:05.694309
HP:0003119,Abnormal circulating lipid concentration,2025-12-23T10:51:05.694313
HP:0006441,Lateral humeral condyle aplasia,2025-12-23T10:51:05.694317
HP:0006510,Chronic pulmonary obstruction,2025-12-23T10:51:05.694321
HP:0007018,Attention deficit hyperactivity disorder,2025-12-23T10:51:05.694325
HP:0000027,Azoospermia,2025-12-23T10:51:05.694329
HP:0008734,Decreased testicular size,2025-12-23T10:51:05.694333
HP:0000771,Gynecomastia,2025-12-23T10:51:05.694336
HP:0000938,Osteopenia,2025-12-23T10:51:05.694340
HP:0002960,Autoimmunity,2025-12-23T10:51:05.694344
HP:0002511,Alzheimer disease,2025-12-23T10:51:05.694347
HP:0200037,Skin vesicle,2025-12-23T10:51:05.694351
HP:0008066,Abnormal blistering of the skin,2025-12-23T10:51:05.694355
HP:0001894,Thrombocytosis,2025-12-23T10:51:05.694359
HP:0025289,Cervical lymphadenopathy,2025-12-23T10:51:05.694362
HP:0012664,Reduced left ventricular ejection fraction,2025-12-23T10:51:05.694367
HP:0001888,Decreased total lymphocyte count,2025-12-23T10:51:05.694371
HP:0030953,Conjunctival hyperemia,2025-12-23T10:51:05.694375
HP:0000651,Diplopia,2025-12-23T10:51:05.694379
HP:0012795,Abnormal optic disc morphology,2025-12-23T10:51:05.694382
HP:0030214,obsolete Hypersexuality,2025-12-23T10:51:05.694386
HP:0005110,Atrial fibrillation,2025-12-23T10:51:05.694390
HP:0002616,Aortic root aneurysm,2025-12-23T10:51:05.694394
HP:0005220,Multiple intestinal neurofibromatosis,2025-12-23T10:51:05.694398
HP:0009789,Perianal abscess,2025-12-23T10:51:05.694402
HP:0001251,Ataxia,2025-12-23T10:51:05.694406
HP:0100653,Optic neuritis,2025-12-23T10:51:05.694409
HP:0031006,Acroparesthesia,2025-12-23T10:51:05.694413
HP:0031417,Rhinorrhea,2025-12-23T10:51:05.694417
HP:0002860,Squamous cell carcinoma,2025-12-23T10:51:05.694420
HP:0000252,Microcephaly,2025-12-23T10:51:05.694424
HP:0002984,Hypoplasia of the radius,2025-12-23T10:51:05.694428
HP:0002643,Neonatal respiratory distress,2025-12-23T10:51:05.694432
HP:0003251,Male infertility,2025-12-23T10:51:05.694436
HP:0011109,Chronic sinusitis,2025-12-23T10:51:05.694439
HP:0001332,Dystonia,2025-12-23T10:51:05.694444
HP:0002067,Bradykinesia,2025-12-23T10:51:05.694447
HP:0000716,Depression,2025-12-23T10:51:05.694451
HP:0025168,Left ventricular diastolic dysfunction,2025-12-23T10:51:05.694454
HP:0001712,Left ventricular hypertrophy,2025-12-23T10:51:05.694458
HP:0001679,Abnormal aortic morphology,2025-12-23T10:51:05.694462
HP:0000238,Hydrocephalus,2025-12-23T10:51:05.694466
HP:0005150,Abnormal atrioventricular conduction,2025-12-23T10:51:05.694470
HP:0100806,Sepsis,2025-12-23T10:51:05.694474
HP:0002017,Nausea and vomiting,2025-12-23T10:51:05.694478
HP:0033605,Pustular rash,2025-12-23T10:51:05.694505
HP:0001030,Fragile skin,2025-12-23T10:51:05.694510
HP:0012534,Dysesthesia,2025-12-23T10:51:05.694513
HP:0001270,Motor delay,2025-12-23T10:51:05.694517
HP:0000083,Renal insufficiency,2025-12-23T10:51:05.694521
HP:0004349,Reduced bone mineral density,2025-12-23T10:51:05.694525
HP:0002415,Leukodystrophy,2025-12-23T10:51:05.694529
HP:0001396,Cholestasis,2025-12-23T10:51:05.694532
HP:0012622,Chronic kidney disease,2025-12-23T10:51:05.694536
HP:0000708,Atypical behavior,2025-12-23T10:51:05.694540
HP:0007677,Vitelliform-like macular lesions,2025-12-23T10:51:05.694544
HP:0000617,Abnormality of ocular smooth pursuit,2025-12-23T10:51:05.694548
HP:0006482,Abnormal dental morphology,2025-12-23T10:51:05.694552
HP:0000316,Hypertelorism,2025-12-23T10:51:05.694556
HP:0001539,Omphalocele,2025-12-23T10:51:05.694560
HP:0001386,Joint swelling,2025-12-23T10:51:05.694564
HP:0031060,Impaired ability to dress oneself,2025-12-23T10:51:05.694568
HP:0002373,Febrile seizure (within the age range of 3 months to 6 years),2025-12-23T10:51:05.694572
HP:0000717,Autism,2025-12-23T10:51:05.694576
HP:0033258,Sudden unexpected death in epilepsy,2025-12-23T10:51:05.694580
HP:0000719,Inappropriate behavior,2025-12-23T10:51:05.694584
HP:0025190,Bilateral tonic-clonic seizure with generalized onset,2025-12-23T10:51:05.694588
HP:0003270,Abdominal distention,2025-12-23T10:51:05.694592
HP:6000852,Megacolon,2025-12-23T10:51:05.694596
HP:0002063,Rigidity,2025-12-23T10:51:05.694600
HP:0002267,Exaggerated startle response,2025-12-23T10:51:05.694604
HP:0003307,Hyperlordosis,2025-12-23T10:51:05.694608
HP:0002359,Frequent falls,2025-12-23T10:51:05.694611
HP:0001844,Abnormal hallux morphology,2025-12-23T10:51:05.694615
HP:0011987,Ectopic ossification in muscle tissue,2025-12-23T10:51:05.694619
HP:0001376,Limitation of joint mobility,2025-12-23T10:51:05.694623
HP:0008872,Feeding difficulties in infancy,2025-12-23T10:51:05.694627
HP:0000175,Cleft palate,2025-12-23T10:51:05.694632
HP:0000407,Sensorineural hearing impairment,2025-12-23T10:51:05.694635
HP:0000726,Dementia,2025-12-23T10:51:05.694640
